1	Pierre	pierre	NNP	_	2	compound	_	B-PERSON
2	Vinken	vinken	NNP	_	9	nsubj	9:A0	L-PERSON
3	,	,	,	_	2	punct	_	O
4	61	0	CD	_	5	nummod	_	B-DATE
5	years	year	NNS	_	6	npadvmod	_	I-DATE
6	old	old	JJ	_	2	amod	_	L-DATE
7	,	,	,	_	2	punct	_	O
8	will	will	MD	_	9	aux	9:AM-MOD	O
9	join	join	VB	pb=join.01	0	root	_	O
10	the	the	DT	_	11	det	_	O
11	board	board	NN	_	9	dobj	9:A1	O
12	as	as	IN	syn=CLR	9	prep	9:AM-PRD	O
13	a	a	DT	_	15	det	_	O
14	nonexecutive	nonexecutive	JJ	_	15	amod	_	O
15	director	director	NN	_	12	pobj	_	O
16	Nov.	nov.	NNP	sem=TMP	9	npadvmod	9:AM-TMP	B-DATE
17	29	0	CD	_	16	nummod	_	L-DATE
18	.	.	.	_	9	punct	_	O

1	Mr.	mr.	NNP	_	2	compound	_	O
2	Vinken	vinken	NNP	_	3	nsubj	3:A1	U-PERSON
3	is	be	VBZ	pb=be.01	0	root	_	O
4	chairman	chairman	NN	syn=PRD	3	attr	3:A2	O
5	of	of	IN	_	4	prep	_	O
6	Elsevier	elsevier	NNP	_	7	compound	_	B-ORG
7	N.V.	n.v.	NNP	_	5	pobj	_	L-ORG
8	,	,	,	_	7	punct	_	O
9	the	the	DT	_	12	det	_	O
10	Dutch	dutch	NNP	_	12	nmod	_	U-NORP
11	publishing	publish	VBG	pb=publish.01	12	amod	_	O
12	group	group	NN	_	7	appos	11:A0	O
13	.	.	.	_	3	punct	_	O

