1	U.	u.	NNP	_	2	compound	_	_	_
2	S.	s.	NNP	_	4	compound	_	_	_
3	State	state	NNP	_	4	compound	_	_	_
4	Department	department	NNP	_	5	compound	_	_	_
5	official	official	NN	_	6	compound	_	_	_
6	Dailey	dailey	NNP	_	7	nsubj	_	_	_
7	told	tell	VBD	_	0	root	_	_	_
8	reporters	reporter	NNS	_	7	dobj	_	_	_
9	that	that	IN	_	20	mark	_	_	_
10	North	north	NNP	_	11	compound	_	_	_
11	Korea	korea	NNP	_	20	nsubj	_	22:xsubj	_
12	,	,	,	_	20	punct	_	_	_
13	like	like	IN	_	20	prep	_	_	_
14	any	any	DT	_	17	det	_	_	_
15	other	other	JJ	_	17	amod	_	_	_
16	blacklisted	blacklist	VBN	_	17	amod	_	_	_
17	state	state	NN	_	13	pobj	_	_	_
18	,	,	,	_	20	punct	_	_	_
19	"	"	``	_	20	punct	_	_	_
20	needs	need	VBZ	_	7	ccomp	_	_	_
21	to	to	TO	_	22	aux	_	_	_
22	provide	provide	VB	_	20	xcomp	_	_	_
23	the	the	DT	_	25	det	_	_	_
24	United	united	NNP	_	25	compound	_	_	_
25	States	state	NNP	_	22	dative	_	_	_
26	a	a	DT	_	28	det	_	_	_
27	detailed	detailed	JJ	_	28	amod	_	_	_
28	guarantee	guarantee	NN	_	22	dobj	_	_	_
29	in	in	IN	_	28	prep	_	_	_
30	key	key	JJ	_	31	amod	_	_	_
31	areas	area	NNS	_	29	pobj	_	_	_
32	that	that	IN	_	36	mark	_	_	_
33	they	they	PRP	_	36	nsubj	_	_	_
34	will	will	MD	_	36	aux	_	_	_
35	not	not	RB	_	36	neg	_	_	_
36	engage	engage	VB	_	28	acl	_	_	_
37	in	in	IN	syn=CLR	36	prep	_	_	_
38	terrorism	terrorism	NN	_	37	pobj	_	_	_
39	"	"	''	_	20	punct	_	_	_
40	.	.	.	_	7	punct	_	_	_

1	After	after	IN	sem=TMP	15	prep	_	_	_
2	the	the	DT	_	3	det	_	_	_
3	release	release	NN	_	1	pobj	_	_	_
4	of	of	IN	_	3	prep	_	_	_
5	a	a	DT	_	6	det	_	_	_
6	report	report	NN	_	4	pobj	_	_	_
7	by	by	IN	_	6	prep	_	_	_
8	the	the	DT	_	12	det	_	_	_
9	U.	u.	NNP	_	10	compound	_	_	_
10	S.	s.	NNP	_	12	compound	_	_	_
11	State	state	NNP	_	12	compound	_	_	_
12	Department	department	NNP	_	7	pobj	_	_	_
13	,	,	,	_	15	punct	_	_	_
14	he	he	PRP	_	15	nsubj	_	_	_
15	said	say	VBD	_	0	root	_	_	_
16	,	,	,	_	15	punct	_	_	_
17	"	"	``	_	15	punct	_	_	_
18	Currently	currently	RB	sem=TMP	25	advmod	_	_	_
19	,	,	,	_	25	punct	_	_	_
20	North	north	NNP	_	21	compound	_	_	_
21	Korea	korea	NNP	_	25	nsubj	_	_	_
22	has	have	VBZ	_	25	aux	_	_	_
23	still	still	RB	sem=TMP	25	advmod	_	_	_
24	not	not	RB	_	25	neg	_	_	_
25	provided	provided	VBN	_	15	ccomp	_	_	_
26	that	that	DT	_	27	det	_	_	_
27	guarantee	guarantee	NN	_	25	dobj	_	_	_
28	.	.	.	_	15	punct	_	_	_
29	"	"	''	_	15	punct	_	_	_

1	The	the	DT	_	2	det	_	_	_
2	report	report	NN	_	3	nsubj	_	_	_
3	listed	list	VBD	_	0	root	_	_	_
4	North	north	NNP	_	5	compound	_	_	_
5	Korea	korea	NNP	_	3	dobj	_	_	_
6	,	,	,	_	5	punct	_	_	_
7	Iran	iran	NNP	_	5	conj	_	_	_
8	,	,	,	_	7	punct	_	_	_
9	Syria	syria	NNP	_	7	conj	_	_	_
10	,	,	,	_	9	punct	_	_	_
11	Cuba	cuba	NNP	_	9	conj	_	_	_
12	,	,	,	_	11	punct	_	_	_
13	and	and	CC	_	11	cc	_	_	_
14	Sudan	sudan	NNP	_	11	conj	_	_	_
15	among	among	IN	_	3	prep	_	_	_
16	states	state	NNS	_	15	pobj	_	_	_
17	that	that	WDT	_	18	nsubj	_	16:ref	_
18	sponsored	sponsor	VBD	_	16	relcl	_	_	_
19	terrorism	terrorism	NN	_	18	dobj	_	_	_
20	in	in	IN	sem=TMP	18	prep	_	_	_
21	2007	0	CD	_	20	pobj	_	_	_
22	.	.	.	_	3	punct	_	_	_

1	The	the	DT	_	2	det	_	_	_
2	2006	0	CD	_	9	nsubj	_	_	_
3	annual	annual	JJ	_	2	amod	_	_	_
4	Country	country	NNP	_	5	compound	_	_	_
5	Reports	report	NNPS	_	2	appos	_	_	_
6	on	on	IN	_	5	prep	_	_	_
7	Terrorism	terrorism	NNP	_	6	pobj	_	_	_
8	also	also	RB	_	9	advmod	_	_	_
9	listed	list	VBD	_	0	root	_	_	_
10	these	these	DT	_	12	det	_	_	_
11	five	#crd#	CD	_	12	nummod	_	_	_
12	countries	country	NNS	_	9	dobj	_	_	_
13	as	as	IN	syn=CLR	9	prep	_	_	_
14	state	state	NN	_	15	compound	_	_	_
15	sponsors	sponsor	NNS	_	13	pobj	_	_	_
16	of	of	IN	_	15	prep	_	_	_
17	terrorism	terrorism	NN	_	16	pobj	_	_	_
18	.	.	.	_	9	punct	_	_	_

1	Dailey	dailey	NNP	_	14	nsubj	_	_	_
2	,	,	,	_	1	punct	_	_	_
3	who	who	WP	_	4	nsubj	_	1:ref	_
4	serves	serve	VBZ	_	1	relcl	_	_	_
5	as	as	IN	syn=CLR	4	prep	_	_	_
6	the	the	DT	_	7	det	_	_	_
7	coordinator	coordinator	NN	_	5	pobj	_	_	_
8	of	of	IN	_	7	prep	_	_	_
9	the	the	DT	_	10	det	_	_	_
10	Office	office	NNP	_	8	pobj	_	_	_
11	of	of	IN	_	10	prep	_	_	_
12	Counterterrorism	counterterrorism	NNP	_	11	pobj	_	_	_
13	,	,	,	_	14	punct	_	_	_
14	stated	state	VBD	_	0	root	_	_	_
15	that	that	IN	_	23	mark	_	_	_
16	removing	remove	VBG	syn=NOM	23	csubj	_	_	_
17	North	north	NNP	_	18	compound	_	_	_
18	Korea	korea	NNP	_	16	dobj	_	_	_
19	from	from	IN	syn=CLR	16	prep	_	_	_
20	the	the	DT	_	21	det	_	_	_
21	list	list	NN	_	19	pobj	_	_	_
22	also	also	RB	_	23	advmod	_	_	_
23	required	require	VBD	_	14	ccomp	_	_	_
24	analysis	analysis	NN	_	23	dobj	_	_	_
25	.	.	.	_	14	punct	_	_	_
